Organization legal name,Group PAC ID, State,Measure Code,Measure Title,Measure Performance Rate,Denominator Count, Footnote
MID COAST HOSPITAL,5496739468,ME,CAHPS_GRP_1,"CAHPS for MIPS SSM: Getting Timely Care, Appointments and Information",77,,
MID COAST HOSPITAL,5496739468,ME,CAHPS_GRP_12,CAHPS for MIPS SSM: Stewardship of Patient Resources,27,,
MID COAST HOSPITAL,5496739468,ME,CAHPS_GRP_10,CAHPS for MIPS SSM: Between Visit Communication,54,,
MID COAST HOSPITAL,5496739468,ME,CAHPS_GRP_2,CAHPS for MIPS SSM: How Well Providers Communicate,92,,
MID COAST HOSPITAL,5496739468,ME,CAHPS_GRP_3,CAHPS for MIPS SSM: Patient's Rating of Provider,91,,
MID COAST HOSPITAL,5496739468,ME,CAHPS_GRP_5,CAHPS for MIPS SSM: Health Promotion and Education,66,,
MID COAST HOSPITAL,5496739468,ME,CAHPS_GRP_9,CAHPS for MIPS SSM: Care Coordination,86,,
MID COAST HOSPITAL,5496739468,ME,CAHPS_GRP_8,CAHPS for MIPS SSM: Courteous and Helpful Office Staff,92,,
MARTINS POINT HEALTHCARE,5991776635,ME,CAHPS_GRP_1,"CAHPS for MIPS SSM: Getting Timely Care, Appointments and Information",82,,
MARTINS POINT HEALTHCARE,5991776635,ME,CAHPS_GRP_12,CAHPS for MIPS SSM: Stewardship of Patient Resources,17,,
MARTINS POINT HEALTHCARE,5991776635,ME,CAHPS_GRP_10,CAHPS for MIPS SSM: Between Visit Communication,58,,
MARTINS POINT HEALTHCARE,5991776635,ME,CAHPS_GRP_2,CAHPS for MIPS SSM: How Well Providers Communicate,93,,
MARTINS POINT HEALTHCARE,5991776635,ME,CAHPS_GRP_3,CAHPS for MIPS SSM: Patient's Rating of Provider,91,,
MARTINS POINT HEALTHCARE,5991776635,ME,CAHPS_GRP_5,CAHPS for MIPS SSM: Health Promotion and Education,63,,
MARTINS POINT HEALTHCARE,5991776635,ME,CAHPS_GRP_9,CAHPS for MIPS SSM: Care Coordination,86,,
MARTINS POINT HEALTHCARE,5991776635,ME,CAHPS_GRP_8,CAHPS for MIPS SSM: Courteous and Helpful Office Staff,92,,
"COOPERATIVE HEALTHCARE SERVICES, INC.",9830093640,GA,CAHPS_GRP_1,"CAHPS for MIPS SSM: Getting Timely Care, Appointments and Information",77,,
"COOPERATIVE HEALTHCARE SERVICES, INC.",9830093640,GA,CAHPS_GRP_12,CAHPS for MIPS SSM: Stewardship of Patient Resources,33,,
"COOPERATIVE HEALTHCARE SERVICES, INC.",9830093640,GA,CAHPS_GRP_10,CAHPS for MIPS SSM: Between Visit Communication,58,,
"COOPERATIVE HEALTHCARE SERVICES, INC.",9830093640,GA,CAHPS_GRP_2,CAHPS for MIPS SSM: How Well Providers Communicate,91,,
"COOPERATIVE HEALTHCARE SERVICES, INC.",9830093640,GA,CAHPS_GRP_3,CAHPS for MIPS SSM: Patient's Rating of Provider,90,,
"COOPERATIVE HEALTHCARE SERVICES, INC.",9830093640,GA,CAHPS_GRP_5,CAHPS for MIPS SSM: Health Promotion and Education,54,,
"COOPERATIVE HEALTHCARE SERVICES, INC.",9830093640,GA,CAHPS_GRP_9,CAHPS for MIPS SSM: Care Coordination,87,,
"COOPERATIVE HEALTHCARE SERVICES, INC.",9830093640,GA,CAHPS_GRP_8,CAHPS for MIPS SSM: Courteous and Helpful Office Staff,90,,
FRISBIE MEMORIAL HOSPITAL,7012996275,NH,CAHPS_GRP_1,"CAHPS for MIPS SSM: Getting Timely Care, Appointments and Information",,,1
FRISBIE MEMORIAL HOSPITAL,7012996275,NH,CAHPS_GRP_12,CAHPS for MIPS SSM: Stewardship of Patient Resources,,,1
FRISBIE MEMORIAL HOSPITAL,7012996275,NH,CAHPS_GRP_10,CAHPS for MIPS SSM: Between Visit Communication,52,,
FRISBIE MEMORIAL HOSPITAL,7012996275,NH,CAHPS_GRP_2,CAHPS for MIPS SSM: How Well Providers Communicate,92,,
FRISBIE MEMORIAL HOSPITAL,7012996275,NH,CAHPS_GRP_3,CAHPS for MIPS SSM: Patient's Rating of Provider,92,,
