,org_name,group_PAC_ID,state,ACO_PC_ID_1,ACO_name_1,ACO_PC_ID_2,ACO_name_2,measure_code,measure_title,inverse_measure,measure_performance_rate,denominator_count,star_value,five_star_benchmark,collection_type,from_PC_livesite
0,BRIDGTON HOSPITAL,8123919099,ME,A1080,Central Maine ACO,None,None,ACI_GRP_TRANS_EP_1,e-Prescribing,N,88.0,16076.0,None,None,ATT,N
1,BRIDGTON HOSPITAL,8123919099,ME,A1080,Central Maine ACO,None,None,ACI_GRP_TRANS_HIE_1,Health Information Exchange,N,67.0,2581.0,None,None,ATT,N
2,BRIDGTON HOSPITAL,8123919099,ME,A1080,Central Maine ACO,None,None,ACI_GRP_TRANS_MR_1,Medication Reconciliation,N,95.0,1676.0,None,None,ATT,N
3,BRIDGTON HOSPITAL,8123919099,ME,A1080,Central Maine ACO,None,None,ACI_GRP_TRANS_PEA_1,Provide Patient Access,N,78.0,5918.0,None,None,ATT,N
4,BRIDGTON HOSPITAL,8123919099,ME,A1080,Central Maine ACO,None,None,ACI_GRP_TRANS_PEA_2,"View, Download, or Transmit (VDT)",N,3.0,5878.0,None,None,ATT,N
8,BRIDGTON HOSPITAL,8123919099,ME,A1080,Central Maine ACO,None,None,ACI_GRP_TRANS_PSE_1,Patient-Specific Education,N,38.0,7115.0,None,None,ATT,N
9,BRIDGTON HOSPITAL,8123919099,ME,A1080,Central Maine ACO,None,None,ACI_GRP_TRANS_SM_1,Secure Messaging,N,3.0,5878.0,None,None,ATT,N
10,LINCOLNHEALTH,3971414186,ME,A1290,MaineHealth Accountable Care Organization,None,None,ACI_GRP_TRANS_EP_1,e-Prescribing,N,97.0,15265.0,None,None,ATT,N
11,LINCOLNHEALTH,3971414186,ME,A1290,MaineHealth Accountable Care Organization,None,None,ACI_GRP_TRANS_HIE_1,Health Information Exchange,N,6.0,1000.0,None,None,ATT,N
12,LINCOLNHEALTH,3971414186,ME,A1290,MaineHealth Accountable Care Organization,None,None,ACI_GRP_TRANS_MR_1,Medication Reconciliation,N,85.0,2920.0,None,None,ATT,N
13,LINCOLNHEALTH,3971414186,ME,A1290,MaineHealth Accountable Care Organization,None,None,ACI_GRP_TRANS_PEA_1,Provide Patient Access,N,98.0,8943.0,None,None,ATT,N
14,LINCOLNHEALTH,3971414186,ME,A1290,MaineHealth Accountable Care Organization,None,None,ACI_GRP_TRANS_PEA_2,"View, Download, or Transmit (VDT)",N,32.0,8943.0,None,None,ATT,N
19,LINCOLNHEALTH,3971414186,ME,A1290,MaineHealth Accountable Care Organization,None,None,ACI_GRP_TRANS_PSE_1,Patient-Specific Education,N,95.0,8939.0,None,None,ATT,N
20,LINCOLNHEALTH,3971414186,ME,A1290,MaineHealth Accountable Care Organization,None,None,ACI_GRP_TRANS_SM_1,Secure Messaging,N,26.0,8943.0,None,None,ATT,N
21,WALDO COUNTY GENERAL HOSPITAL,2163332883,ME,A1290,MaineHealth Accountable Care Organization,None,None,ACI_GRP_TRANS_EP_1,e-Prescribing,N,97.0,15490.0,None,None,ATT,N
22,WALDO COUNTY GENERAL HOSPITAL,2163332883,ME,A1290,MaineHealth Accountable Care Organization,None,None,ACI_GRP_TRANS_HIE_1,Health Information Exchange,N,5.0,720.0,None,None,ATT,N
23,WALDO COUNTY GENERAL HOSPITAL,2163332883,ME,A1290,MaineHealth Accountable Care Organization,None,None,ACI_GRP_TRANS_MR_1,Medication Reconciliation,N,81.0,2685.0,None,None,ATT,N
24,WALDO COUNTY GENERAL HOSPITAL,2163332883,ME,A1290,MaineHealth Accountable Care Organization,None,None,ACI_GRP_TRANS_PEA_1,Provide Patient Access,N,96.0,7697.0,None,None,ATT,N
25,WALDO COUNTY GENERAL HOSPITAL,2163332883,ME,A1290,MaineHealth Accountable Care Organization,None,None,ACI_GRP_TRANS_PEA_2,"View, Download, or Transmit (VDT)",N,29.0,7697.0,None,None,ATT,N
30,WALDO COUNTY GENERAL HOSPITAL,2163332883,ME,A1290,MaineHealth Accountable Care Organization,None,None,ACI_GRP_TRANS_PSE_1,Patient-Specific Education,N,91.0,7695.0,None,None,ATT,N
31,WALDO COUNTY GENERAL HOSPITAL,2163332883,ME,A1290,MaineHealth Accountable Care Organization,None,None,ACI_GRP_TRANS_SM_1,Secure Messaging,N,27.0,7697.0,None,None,ATT,N
32,SOUTHERN MAINE HEALTH CARE,143208348,ME,A1290,MaineHealth Accountable Care Organization,None,None,ACI_GRP_TRANS_EP_1,e-Prescribing,N,98.0,69282.0,None,None,ATT,N
33,SOUTHERN MAINE HEALTH CARE,143208348,ME,A1290,MaineHealth Accountable Care Organization,None,None,ACI_GRP_TRANS_HIE_1,Health Information Exchange,N,3.0,3177.0,None,None,ATT,N
34,SOUTHERN MAINE HEALTH CARE,143208348,ME,A1290,MaineHealth Accountable Care Organization,None,None,ACI_GRP_TRANS_MR_1,Medication Reconciliation,N,90.0,11546.0,None,None,ATT,N
35,SOUTHERN MAINE HEALTH CARE,143208348,ME,A1290,MaineHealth Accountable Care Organization,None,None,ACI_GRP_TRANS_PEA_1,Provide Patient Access,N,92.0,38254.0,None,None,ATT,N
36,SOUTHERN MAINE HEALTH CARE,143208348,ME,A1290,MaineHealth Accountable Care Organization,None,None,ACI_GRP_TRANS_PEA_2,"View, Download, or Transmit (VDT)",N,23.0,38254.0,None,None,ATT,N
41,SOUTHERN MAINE HEALTH CARE,143208348,ME,A1290,MaineHealth Accountable Care Organization,None,None,ACI_GRP_TRANS_PSE_1,Patient-Specific Education,N,93.0,38238.0,None,None,ATT,N
42,SOUTHERN MAINE HEALTH CARE,143208348,ME,A1290,MaineHealth Accountable Care Organization,None,None,ACI_GRP_TRANS_SM_1,Secure Messaging,N,7.0,38254.0,None,None,ATT,N
46,CENTRAL MAINE MEDICAL CENTER,2567379563,ME,A1080,Central Maine ACO,None,None,ACI_GRP_TRANS_EP_1,e-Prescribing,N,90.0,77946.0,None,None,ATT,N
47,CENTRAL MAINE MEDICAL CENTER,2567379563,ME,A1080,Central Maine ACO,None,None,ACI_GRP_TRANS_HIE_1,Health Information Exchange,N,57.0,12980.0,None,None,ATT,N
48,CENTRAL MAINE MEDICAL CENTER,2567379563,ME,A1080,Central Maine ACO,None,None,ACI_GRP_TRANS_MR_1,Medication Reconciliation,N,95.0,19365.0,None,None,ATT,N
49,CENTRAL MAINE MEDICAL CENTER,2567379563,ME,A1080,Central Maine ACO,None,None,ACI_GRP_TRANS_PEA_1,Provide Patient Access,N,82.0,45148.0,None,None,ATT,N
50,CENTRAL MAINE MEDICAL CENTER,2567379563,ME,A1080,Central Maine ACO,None,None,ACI_GRP_TRANS_PEA_2,"View, Download, or Transmit (VDT)",N,5.0,45128.0,None,None,ATT,N
54,CENTRAL MAINE MEDICAL CENTER,2567379563,ME,A1080,Central Maine ACO,None,None,ACI_GRP_TRANS_PSE_1,Patient-Specific Education,N,29.0,48026.0,None,None,ATT,N
55,CENTRAL MAINE MEDICAL CENTER,2567379563,ME,A1080,Central Maine ACO,None,None,ACI_GRP_TRANS_SM_1,Secure Messaging,N,4.0,45129.0,None,None,ATT,N
56,EASTERN MAINE MEDICAL CENTER,2062315161,ME,V131,Beacon Health LLC,None,None,ACI_GRP_TRANS_EP_1,e-Prescribing,N,89.0,190242.0,None,None,ATT,N
57,EASTERN MAINE MEDICAL CENTER,2062315161,ME,V131,Beacon Health LLC,None,None,ACI_GRP_TRANS_HIE_1,Health Information Exchange,N,21.0,15645.0,None,None,ATT,N
58,EASTERN MAINE MEDICAL CENTER,2062315161,ME,V131,Beacon Health LLC,None,None,ACI_GRP_TRANS_MR_1,Medication Reconciliation,N,72.0,294579.0,None,None,ATT,N
59,EASTERN MAINE MEDICAL CENTER,2062315161,ME,V131,Beacon Health LLC,None,None,ACI_GRP_TRANS_PEA_1,Provide Patient Access,N,85.0,150938.0,None,None,ATT,N
60,EASTERN MAINE MEDICAL CENTER,2062315161,ME,V131,Beacon Health LLC,None,None,ACI_GRP_TRANS_PEA_2,"View, Download, or Transmit (VDT)",N,9.0,150938.0,None,None,ATT,N
64,EASTERN MAINE MEDICAL CENTER,2062315161,ME,V131,Beacon Health LLC,None,None,ACI_GRP_TRANS_PSE_1,Patient-Specific Education,N,32.0,150938.0,None,None,ATT,N
65,EASTERN MAINE MEDICAL CENTER,2062315161,ME,V131,Beacon Health LLC,None,None,ACI_GRP_TRANS_SM_1,Secure Messaging,N,7.0,150938.0,None,None,ATT,N
66,EASTERN MAINE MEDICAL CENTER,2062315161,ME,V131,Beacon Health LLC,None,None,MIPS_GRP_046_18-64,Medication Reconciliation Post-Discharge,N,100.0,86.0,None,None,WI,N
67,EASTERN MAINE MEDICAL CENTER,2062315161,ME,V131,Beacon Health LLC,None,None,MIPS_GRP_046_65+,Medication Reconciliation Post-Discharge,N,99.0,238.0,None,None,WI,N
68,EASTERN MAINE MEDICAL CENTER,2062315161,ME,V131,Beacon Health LLC,None,None,MIPS_GRP_046_overall,Medication Reconciliation Post-Discharge,N,99.0,331.0,None,None,WI,N
69,EASTERN MAINE MEDICAL CENTER,2062315161,ME,V131,Beacon Health LLC,None,None,MIPS_GRP_110_overall,Preventive Care and Screening: Influenza Immunization,N,92.0,209.0,4.0,94.0,WI,Y
70,EASTERN MAINE MEDICAL CENTER,2062315161,ME,V131,Beacon Health LLC,None,None,MIPS_GRP_111_overall,Pneumococcal Vaccination Status for Older Adults,N,87.0,249.0,4.0,94.0,WI,Y
71,EASTERN MAINE MEDICAL CENTER,2062315161,ME,V131,Beacon Health LLC,None,None,MIPS_GRP_113_overall,Colorectal Cancer Screening,N,68.0,249.0,4.0,84.0,WI,Y
72,EASTERN MAINE MEDICAL CENTER,2062315161,ME,V131,Beacon Health LLC,None,None,MIPS_GRP_134_overall,Preventive Care and Screening: Screening for Clinical Depression and Follow-Up Plan,N,87.0,291.0,4.0,91.0,WI,Y
73,EASTERN MAINE MEDICAL CENTER,2062315161,ME,V131,Beacon Health LLC,None,None,MIPS_GRP_226_overall,Preventive Care and Screening: Tobacco Use: Screening and Cessation Intervention,N,96.0,250.0,4.0,100.0,WI,Y
74,EASTERN MAINE MEDICAL CENTER,2062315161,ME,V131,Beacon Health LLC,None,None,MIPS_GRP_318_overall,Falls: Screening for Future Fall Risk,N,96.0,249.0,4.0,99.0,WI,Y
75,FRANKLIN MEMORIAL HOSPITAL,4385615145,ME,A1290,MaineHealth Accountable Care Organization,None,None,ACI_GRP_TRANS_EP_1,e-Prescribing,N,65.0,18578.0,None,None,ATT,N
76,FRANKLIN MEMORIAL HOSPITAL,4385615145,ME,A1290,MaineHealth Accountable Care Organization,None,None,ACI_GRP_TRANS_HIE_1,Health Information Exchange,N,0.0,2482.0,None,None,ATT,N
77,FRANKLIN MEMORIAL HOSPITAL,4385615145,ME,A1290,MaineHealth Accountable Care Organization,None,None,ACI_GRP_TRANS_MR_1,Medication Reconciliation,N,90.0,4710.0,None,None,ATT,N
78,FRANKLIN MEMORIAL HOSPITAL,4385615145,ME,A1290,MaineHealth Accountable Care Organization,None,None,ACI_GRP_TRANS_PEA_1,Provide Patient Access,N,59.0,9768.0,None,None,ATT,N
79,FRANKLIN MEMORIAL HOSPITAL,4385615145,ME,A1290,MaineHealth Accountable Care Organization,None,None,ACI_GRP_TRANS_PEA_2,"View, Download, or Transmit (VDT)",N,6.0,10645.0,None,None,ATT,N
84,FRANKLIN MEMORIAL HOSPITAL,4385615145,ME,A1290,MaineHealth Accountable Care Organization,None,None,ACI_GRP_TRANS_PSE_1,Patient-Specific Education,N,1.0,10645.0,None,None,ATT,N
85,FRANKLIN MEMORIAL HOSPITAL,4385615145,ME,A1290,MaineHealth Accountable Care Organization,None,None,ACI_GRP_TRANS_SM_1,Secure Messaging,N,7.0,10645.0,None,None,ATT,N
86,MERCY HOSPITAL,6103737812,ME,V131,Beacon Health LLC,None,None,ACI_GRP_TRANS_EP_1,e-Prescribing,N,95.0,52882.0,None,None,ATT,N
87,MERCY HOSPITAL,6103737812,ME,V131,Beacon Health LLC,None,None,ACI_GRP_TRANS_HIE_1,Health Information Exchange,N,39.0,3541.0,None,None,ATT,N
88,MERCY HOSPITAL,6103737812,ME,V131,Beacon Health LLC,None,None,ACI_GRP_TRANS_MR_1,Medication Reconciliation,N,85.0,14318.0,None,None,ATT,N
89,MERCY HOSPITAL,6103737812,ME,V131,Beacon Health LLC,None,None,ACI_GRP_TRANS_PEA_1,Provide Patient Access,N,73.0,26703.0,None,None,ATT,N
90,MERCY HOSPITAL,6103737812,ME,V131,Beacon Health LLC,None,None,ACI_GRP_TRANS_PEA_2,"View, Download, or Transmit (VDT)",N,21.0,26703.0,None,None,ATT,N
95,MERCY HOSPITAL,6103737812,ME,V131,Beacon Health LLC,None,None,ACI_GRP_TRANS_PSE_1,Patient-Specific Education,N,27.0,26703.0,None,None,ATT,N
96,MERCY HOSPITAL,6103737812,ME,V131,Beacon Health LLC,None,None,ACI_GRP_TRANS_SM_1,Secure Messaging,N,7.0,26703.0,None,None,ATT,N
97,MERCY HOSPITAL,6103737812,ME,V131,Beacon Health LLC,None,None,MIPS_GRP_046_18-64,Medication Reconciliation Post-Discharge,N,57.0,42.0,None,None,WI,N
98,MERCY HOSPITAL,6103737812,ME,V131,Beacon Health LLC,None,None,MIPS_GRP_046_65+,Medication Reconciliation Post-Discharge,N,61.0,69.0,None,None,WI,N
99,MERCY HOSPITAL,6103737812,ME,V131,Beacon Health LLC,None,None,MIPS_GRP_046_overall,Medication Reconciliation Post-Discharge,N,58.0,113.0,None,None,WI,N
100,MERCY HOSPITAL,6103737812,ME,V131,Beacon Health LLC,None,None,MIPS_GRP_110_overall,Preventive Care and Screening: Influenza Immunization,N,83.0,549.0,4.0,94.0,WI,Y
101,MERCY HOSPITAL,6103737812,ME,V131,Beacon Health LLC,None,None,MIPS_GRP_111_overall,Pneumococcal Vaccination Status for Older Adults,N,81.0,613.0,4.0,94.0,WI,Y
102,MERCY HOSPITAL,6103737812,ME,V131,Beacon Health LLC,None,None,MIPS_GRP_113_overall,Colorectal Cancer Screening,N,72.0,605.0,4.0,84.0,WI,Y
103,MERCY HOSPITAL,6103737812,ME,V131,Beacon Health LLC,None,None,MIPS_GRP_134_overall,Preventive Care and Screening: Screening for Clinical Depression and Follow-Up Plan,N,61.0,453.0,3.0,91.0,WI,Y
104,MERCY HOSPITAL,6103737812,ME,V131,Beacon Health LLC,None,None,MIPS_GRP_226_overall,Preventive Care and Screening: Tobacco Use: Screening and Cessation Intervention,N,62.0,613.0,1.0,100.0,WI,Y
